# Korean manuscript batch: early town and first major incident.
# id	Korean translation	category	status
C0-059562	[DFT]흠, 네가\n[KATAKANA]아키하바라[HIRAGANA]의 아들이냐?\n이번에 이 마을로 이사 왔다지.\n[FIN]네 아버지는 발명품이랍시고\n터무니없는 물건을 만들어\n사람들에게 폐를 끼쳤다.\n[FIN]너까지 마을 사람들에게\n폐를 끼치면 어린애라도 봐주지 않겠다.\n명심해라!	early-story	translated
C0-059660	[DF4]…라는 사정이니\n폐를 끼치게 되겠지만\n아이들의 목숨이 걸린 일입니다.\n[FIN]부디 협조해 주세요.\n강가는 위험하니\n여러분도 조심하시기 바랍니다.\n[PAU:1E]그럼 가 보겠습니다.˳	early-story	translated
C0-059748	[DFT]흠!\n너는 왜 이런 곳을\n어슬렁거리고 있지!?\n[PAU:1E]어서 감옥으로 돌아가!˳	early-story	translated
C0-05977C	[DFT]흠![PAU:28]수배 중인\n[NAM:00] 아니냐![FIN][JMP][BYTE:B9][BYTE:A5][DFT]…이야기는 들었다.\n사정이 어떻든 무고한 사람을\n잘못 체포하다니\n정말 한심하군….˳	early-story	translated
C0-0597D6	[DFT]요즘 마을 아이가\n이상한 [KATAKANA]나팔[HIRAGANA]로 마을 사람들을\n골탕 먹이는 모양이야.\n잡아서 따끔하게 혼내야겠어!	early-town	translated
C0-059817	[DFT][KATAKANA]나팔[HIRAGANA]로 장난치던 아이도\n장난을 그만둔 모양이야.\n모두가 자기 잘못을 고친다면\n경찰도 필요 없겠지.˳	early-town	translated
C0-059A36	[DFT]게시판에는 마을 알림이나\n신문이 붙어 있어.\n특히 [PAL:03][KATAKANA]민트[HIRAGANA][PAL:00]라는 아가씨가\n쓴 기사가 재미있지.˳	early-town	translated
C0-059C34	[DFT]여기도 평화로운 마을이었는데 말이야.\n[KATAKANA]해커[HIRAGANA]라는 녀석들이 온 뒤로\n흉흉해졌어.\n너도 문단속을 잘하는 게 좋을 거야.˳	early-town	translated
C0-059C83	[DFT]너, [PAL:02][KATAKANA]페퍼[HIRAGANA][PAL:00]라는 사람 알아?\n유명한 발명가라는데\n지금 이 마을에 와 있대.\n하지만… 난 들어 본 적이 없는데.˳	early-town	translated
C0-059CD0	[DFT]네가 행방불명된 아이들을\n구했다며?\n포상금이 나온다는 걸 알았으면\n나도 진지하게 찾았을 텐데.˳	early-story	translated
C0-059D11	[DFT]너, 알고 있어?\n요즘 [KATAKANA]로코코 마을[HIRAGANA] 주민에게\n[PAL:02]남쪽 섬 무료 초대[PAL:00]라는\n편지가 오고 있대.\n[FIN]내게는 안 왔는데 말이야.\n왜 이런 이야기는 항상\n나만 빼놓고 하는 걸까?˳	early-town	translated
C0-059D92	[DFT]요즘 촌장님이 사람이 달라진 것처럼\n일을 열심히 한다더라.\n사람이란 무슨 계기로 변할지\n모르는 법이지.˳	early-town	translated
C0-059DD8	[DFT]그 성실하던 촌장님이\n가짜였대.\n역시 사람은 그렇게 쉽게\n변할 수 있는 게 아니지.˳	early-town	translated
C0-059E14	[DFT]아까 걷고 있는데\n갑자기 아이가\n[KATAKANA]나팔[HIRAGANA]로 놀래켜서\n정말 깜짝 놀랐지 뭐야!	early-town	translated
C0-059EE8	[DFT]어?[PAU:0A]곤란한 일이 있으면\n말해 보라고?\n하하하, 너한테는 어려운 이야기야.\n마음만으로도 충분해.˳	early-town	translated
C0-05A15D	[DFT]남자아이들이 [PAU:1E][PAL:02]강가 동굴에\n[KATAKANA]해커[HIRAGANA]의 [KATAKANA]아지트[HIRAGANA]를\n찾으러 간다고[PAL:00] 했어.[FIN]\n역시 남자는 꿈을 좇는 생물이구나.\n[PAU:1E]하지만 그렇게 무모한 건\n[KATAKANA]조금[HIRAGANA] 멋없지.˳	early-story	translated
C0-05ADB7	[DFT][E2:023F]아버지, 저 사람들의 이야기를 어떻게 생각해?\n 믿어도 될 것 같아요\n 뭔가 수상한 것 같아요[TER][CLR]그… 그래?\n[PAU:1E]아버지는 저 사람들이\n나쁜 사람들은 아닌 것 같구나…[TPL:D0]…그렇구나. 너도 그렇게 생각하니?\n[PAU:1E]아버지도 저 사람들이\n나쁜 사람들은 아닌 것 같구나…[TPL:D7]그래서 말인데[PAU:1E] 이 세 개의 [E2:0067]을\n네게 맡기기로 했다.\n[PAU:1E]너도 이제 훌륭한 어른이니\n이것을 올바르게 사용하겠지.˳[TPL:D7][E2:024E]아버지가 말하기도 쑥스럽지만\n너, 요 며칠 사이에\n제법 자란 것 같구나?[FIN]아니, 그 키 말고…\n[PAU:3C]아무튼 [PAU:1E][E2:0054]는 네게 맡기마.\n저 사람들을 돕고 싶다면\n그렇게 해 주거라.˳	early-story	translated
C0-058AA3	[DFT]오빠, 그 집에 이사 왔지?\n[PAL:02][BTN:8000][KATAKANA]버튼[HIRAGANA]으로\n[KATAKANA]차임[HIRAGANA]을 울리는 거야.[PAL:00]\n\n답례는 이사 떡이면 충분하니까˳	early-house-route	translated
C0-058B74	[DFT]어? 지난번 발명품을 돌려달라고?\n싫어.[KATAKANA]나[HIRAGANA]\n재미있는걸.˳	early-house-route	translated
C0-058C86	[DFT]엄청 큰 빛이\n강가 쪽에 떨어졌다니까!!\n분명 UFO야!\n보러 가고 싶다.[PAU:1E] 우와!	early-house-route	translated
C0-05A1CC	[DFT][NXT]지…\n[NXT]가 내가 키우는 개가\n더 귀엽거든.\n[PAU:1E]흥!	early-town	translated
C0-05A9BE	[DFT][E2:0258]오늘은 촌장님 댁에\n인사하러 가야지?\n늦으면 해가 지겠다.˳	early-story	translated
C0-05AB04	[DFT][E2:02C2]아이들을 도왔다며?\n[PAU:14]정말 잘했다. 훌륭해.[FIN]\n그런데[PAU:1E] 아버지는 한동안\n친구인 [PAL:02][KATAKANA]플라보노[HIRAGANA][PAL:00] 씨와\n여행을 떠나기로 했다.\n언제 돌아올지는 모르겠구나.[FIN]\n아버지가 없어도\n너라면 잘 지낼 수 있겠지.\n[KATAKANA]쿠로가네[HIRAGANA]는 두고 갈 테니\n잘 돌봐 주거라.[FIN]\n그럼 [PAU:1E][NAM:00][PAU:1E]\n잘 지내거라.˳	early-story	translated
C0-05ABC0	[DFT][E2:0260]…[PAU:3C][NXT]다행이다! 정신이 들었구나![NXT][PAU:3C]왜 그러느냐?[PAU:1E]어디 아픈 게냐!?[FIN]\n뭐?[PAU:1E]과거의 [KATAKANA]로코코 마을[HIRAGANA]이라고?\n[PAU:32]하하하, 꿈을 꾼 게로구나.\n[PAU:1E]여긴 네 집이란다.[FIN]\n기억나니?\n[PAU:28]아버지는 [KATAKANA]스위치[HIRAGANA]가 눌리면\n요새가 자폭하도록\n[KATAKANA]레이저 장치[HIRAGANA]를 개조했지.[FIN]\n그래서 요새가 폭발했고…\n[PAU:28]너는 요새의 [KATAKANA]잔해[HIRAGANA] 속에\n쓰러져 있었단다.\n[PAU:28]무사해서 정말 다행이야.[FIN]\n뭐?[PAU:3C][E2:000F]\n[PAU:1E]걱정 마라. [KATAKANA]잔해[HIRAGANA] 속에서\n제대로 찾아 두었단다.\n[PAU:1E]그 이야기는 다음에 천천히 하자.˳	early-story	translated
C0-05AD49	[DFT][E2:023F]일어났구나.\n정말 이제 괜찮은 거냐?\n[PAU:1E]아직 무리하면 안 된다.˳	early-story	translated
C0-05AD7C	[DFT][E2:02C2]정말 괜찮은 게냐?\n[PAU:28]그렇다면 자유롭게 움직여도 좋지만\n너무 무리하지는 말거라.˳	early-story	translated
C0-05AF11	[DFT][E2:0280]소지품이 가득 찼지?\n자, 아무튼\n정리를 좀 하거라.˳	early-story	translated
C0-05AFDA	[DFT][E2:027E]…너 [NAM:00] 맞지?\n하하하, 아버지 눈은 못 속인단다!˳	early-story	translated
C0-05B110	[DFT][E2:154E]갑작스러운 일이라 당황하시겠지만\n저희는 [PAL:02][KATAKANA]쇼콜라 별[HIRAGANA][PAL:00]이라는 별에서 왔습니다.[TPL:D7]\n이분은 [KATAKANA]쇼콜라 별[HIRAGANA]의 공주님\n[PAL:03][KATAKANA]티라미스[HIRAGANA][PAL:00]님입니다.\n[NAM:00]님께 간곡히 부탁드릴 일이 있어 찾아왔습니다.[TPL:D7]\n사실 지금 [KATAKANA]쇼콜라 별[HIRAGANA]은\n[PAL:02][KATAKANA]해커[HIRAGANA][PAL:00]라는 군단의 공격을 받아\n[PAU:1E]지표면이 불타 버렸고\n어쩔 수 없이 [KATAKANA]셸터[HIRAGANA]로 피신해 있습니다.[FIN]\n[E2:0E49]그 때문입니다.[PAU:1E]\n제 선조 중에 [PAL:03][KATAKANA]밀피[HIRAGANA][PAL:00][PAU:1E]라는 분이 계셨는데…\n[PAU:1E]당신을 만나라고…[TPL:D7][E2:15DC]공주님![PAU:28]제가 설명하겠습니다![PAU:28][NXT]공주님이 설명하시면 이야기가 길어지니요.[TPL:D7]\n당신께서 [E2:004F] 것을 가지고 계실 테니\n그 힘을 빌리라고 [PAL:03][KATAKANA]밀피[HIRAGANA][PAL:00]님께서\n유언을 남기셨습니다.[FIN]\n[KATAKANA]해커[HIRAGANA]는 강대한 힘을 가진\n[PAL:02]우주요새[PAL:00]를 보유하고 있습니다.\n그것을 파괴할 방법을 알아내려면\n[E2:0000]이 필요합니다.[FIN]\n[E2:023D]음…[PAU:1E]갑자기 믿기 어려운 이야기군.[FIN]\n[E2:1504]당연한 반응이십니다.\n그러니 우선 이것을 드리겠습니다.[FIN]\n협력해 주신다면 사용해 주세요.\n이것은 [KATAKANA]쇼콜라 별[HIRAGANA]로\n당신을 안내할 탈것입니다.[TPL:D7]\n[NAM:00]은 [PAL:02]우주선[PAL:00]을 얻었다![TER]\n[DFT]그럼 저희는 이만 실례하겠습니다.\n좋은 답변을 기다리겠습니다.\n[PAU:3C]자, 공주님.[PAU:1E]가시지요˳	early-story	translated
C0-05B4AA	[DFT][E2:0E7E]저…[PAU:3C]부디 잘 부탁드립니다.\n[PAU:1E]저희가 할 수 있는 일은 모두 해 보았습니다.[FIN]\n하지만 [NAM:00]님을 정말로 만날 수 있어\n[PAU:1E]저는 처음으로[PAU:1E] 희망의 빛을 본 듯합니다.[FIN]\n부디 [PAU:1E][KATAKANA]쇼콜라 별[HIRAGANA]에 와 주세요.[PAU:3C]\n다시 [PAU:1E]뵐 날을\n[PAU:1E]기대하고 있겠습니다.˳	early-story	translated
C0-05B668	[DFT][E2:073F]잘됐네.[PAU:1E]저쪽에 있던 사람이\n네 어머니냐?[FIN]\n젊고 상냥해 보여서 좋겠다.\n우리 엄마는 말이지[NXT]…\n[NXT][PAU:1E]아, 됐어.[FIN]\n[KATAKANA]스크랩[HIRAGANA]만 가져가면 불쌍하니까\n이걸 가져왔어.\n[PAU:1E]너에게 줄게.[TPL:D7]\n[NAM:00]은 [PAL:02]돌 1[PAL:00]을 얻었다![TER]\n[DFT]동굴에서 찾았어.\n[KATAKANA]반짝반짝[HIRAGANA] 빛나서 예쁘지?\n이걸로 기분 풀어.\n그럼[PAU:1E] 난 돌아갈게.˳	early-story	translated
C0-05B785	[DFT][E2:074F]그래, 돌아왔구나.\n엄마한테 들었어.\n고생 많았지.[FIN]\n촌장님에게 중요한 물건을\n빼앗겼다며?\n[PAU:1E]분하지도 않아?\n가만있지 말고 되찾아 와![FIN]\n나는 촌장회에 들어갈 수 있는\n비밀 장소를 알고 있어.\n[PAU:1E][PAL:02]경찰서 [KATAKANA]↓[HIRAGANA] 쪽에 있는 오두막[PAL:00]이 있지?\n[PAU:1E]거기서 촌장회로 들어갈 수 있어.[FIN]\n네 때문은 아니야.\n[PAU:1E]그 촌장 때문에 우리 엄마가\n늘 고생하거든.\n한번 크게 혼내 주고 싶은 것뿐이야.[FIN]\n나는 오두막에서 기다릴게.\n일단 와 봐.\n[PAL:02]경찰서 [KATAKANA]↓[HIRAGANA]에 있는 오두막[PAL:00]이야.\n[PAU:20]그럼 나중에 보자!	early-story	translated
C0-05C074	[DFT]히…[PAU:1E]꺄악!\n[PAU:1E]그 큰 건 뭐니?!\n[PAU:1E]뭐?[PAU:1E]도와주는 [KATAKANA]로봇[HIRAGANA]이라고?\n[PAU:14]그렇구나, 착한 아이네.[FIN]\n나도 요즘 몸이 좋지 않아서 말이야…[FIN]\n그런 부지런한 아이가\n있어 주면 큰 도움이 될 텐데.\n 로봇을 빌려드릴게요\n 세상일이 다 뜻대로 되진 않아요[TER][CLR]그래, 고맙구나.\n이제 조금은 편하게 지낼 수 있겠어.˳	early-story	translated
C0-05C239	[DFT]주인님의 아들이\n[KATAKANA]펩시[HIRAGANA] 씨의 딸과\n사랑의 도피를 했어.[KATAKANA]냐앙[HIRAGANA][FIN]\n주인님은 걱정한 나머지\n병이 나 버렸지.[KATAKANA]냐[HIRAGANA]\n내가 위로하는 것밖에 못 해서\n답답해.[KATAKANA]냐앙[HIRAGANA]˳	early-town	translated
C0-05C403	[DFT][NXT]어머나.\n[PAU:1E]네가 옆집으로 이사 온\n발명가 꼬마구나!\n아직 어린데도 기특하네.˳[FIN]\n아주머니에게 할 수 있는 일이 있으면\n뭐든 상담하렴!\n아주머니는 너처럼\n열심히 하는 아이 편이란다.˳[NXT]가	early-town	translated
C0-05C47F	[DFT][NXT]그런데 발명가 꼬마야,\n촌장님 소문은 들었니?\n예쁜 비서가 온 뒤로\n제대로 일을 하지 않는대.[FIN]\n정말 곤란한 일이야.\n너도 저런 어른이\n되면 안 된다![NXT]가	early-town	translated
C0-05C4F1	[DFT][NXT]아, 발명가 꼬마야.\n촌장님 댁의 발명가라는 사람을\n만났다며?[FIN]\n발명가 선생님은 어땠니?\n이 마을에 유명한 사람이 오는 일은\n흔치 않으니\n촌장님도 아주 신났겠구나.[NXT]가	early-town	translated
C0-05C5B3	[DFT][NXT]발명가 꼬마야, 들었니?\n마을 아이들이\n강가 동굴에서 행방불명됐대.[FIN]\n정말 무사할까?\n아이 어머니가 얼마나 걱정할지\n생각하면 마음이 아프구나.˳[NXT]가	early-story	translated
C0-05C62C	[DFT][NXT]꼬마야!\n소문은 들었단다!\n정말 큰일을 해냈구나![FIN]\n아직 어린데도\n정말 열심히 했어.\n기특하구나, 기특해.\n앞으로도 힘내렴![NXT]가	early-story	translated
C0-05C68E	[DFT][NXT]발명가 꼬마야!\n잘 왔구나!\n너, 알고 있니?[FIN]\n요즘 네 아버지 집 근처에\n검은 옷을 입은 수상한 녀석들이\n돌아다닌다는 소문이야.[FIN]\n네 아버지가 곤란한 일에\n휘말린 건 아닌지 모르겠구나.\n가끔은 상태를 보러\n찾아가야 한단다.˳[NXT]가	early-story	translated
C0-05C729	[DFT][NXT]발명가 꼬마야! 들었단다.\n그 소문은 사실이니?\n아, 너 혼자서\n고생하고 있었구나.[FIN]\n그래도 솔직히 자수하는 게 좋겠어.\n원한다면 아주머니가\n같이 가 줄까?[NXT]가	early-story	translated
C0-05C799	[DFT][NXT]발명가 꼬마야! 들었단다!\n네가 누명을 썼다며?\n게다가 가짜 촌장까지\n물리쳤다지?[FIN]\n힘들었겠지만 정말 장하구나.\n아주머니는 감동해서\n눈물이 날 것 같아.˳	early-story	translated
C0-05CF8A	[DFT]폭발 충격으로\n[PAL:02]동굴 입구 위쪽에\n큰 구멍이 뚫렸어.[PAL:00][FIN]\n지금 그곳으로 동굴 안에\n들어갈 수 있을지\n의논하는 중이야.˳	early-story	translated
C0-05D269	[DFT]촌장님은 만나 보셨나요?\n촌장님 옆에 계시던 분은\n새 비서 [PAL:03][KATAKANA]로즈[HIRAGANA][PAL:00] 씨예요.\n미인이면서 유능하다고\n소문이 자자하답니다.˳	early-town	translated
C0-05D2BC	[DFT]어머, [NAM:00] 씨.\n이 근처에는 오지 않는 게 좋아요.\n아직 혐의가\n풀리지 않았잖아요?[FIN]\n그런데[PAU:1E] 당신이 잡혀간 뒤로\n촌장님의 모습이 이상해졌어요…\n사람이 달라진 것처럼\n일을 열심히 하니\n오히려 섬뜩할 정도예요.˳	early-story	translated
C0-05D365	[DFT]저기, [NAM:00] 씨.\n당신이 구한\n강가 동굴의 아이들 중에\n[PAL:02][KATAKANA]카를[HIRAGANA][PAL:00]이라는 아이가 있었죠?[FIN]\n…아주머니 아들이에요.\n폐를 끼쳐서 미안해요.\n그런데… 그 아이가\n아직 돌아오지 않았어요.[FIN]\n그 아이 성격상\n순순히 돌아오진 않을 거라고\n생각했지만…\n…아, 정말 말썽꾸러기라니까!	early-story	translated
C0-05D454	[DFT][NAM:00] 씨, 지난번엔 고마웠어요.\n[KATAKANA]카를[HIRAGANA]이 돌아온 뒤로\n잔뜩 혼내 줬답니다.[FIN]\n그 아이 아버지는 지금\n행방불명 상태라서요…\n외로운 걸까요?\n그렇게 무모한 일만 하는 건…[FIN]\n[NAM:00] 씨, 가끔이라도\n그 아이와 놀아 주세요.\n사실은 순하고 착한 아이랍니다.˳	early-story	translated
C0-05D720	[DF4][E2:0481]너, 소문 들었어.\n촌장님의 보석을 훔쳤다는 혐의로\n잡혀 있었다며?[FIN]\n괜찮아. 난 알고 있어.\n네가 좀 얼빠진 구석은 있어도\n남의 물건을 훔칠 아이는 아니야.\n누군가의 음모가 틀림없어.[FIN]\n촌장님이 이상해졌다는\n소문은 들었니?\n난 이 일에 반드시\n뭔가 있다고 생각해.[FIN]\n하지만 몇 번이나 촌장님을 만나도\n조금도 꼬리를 잡을 수가 없어.\n아아아아, 분해!	early-story	translated
C0-05D857	[DFT][E2:04DC]뭐… 뭐라고요!?\n지금 촌장실에 있는 촌장님이\n가짜라고요!?[FIN][NXT]후훗[PAU:1E] 역시 내 짐작대로네!\n다시 취재하러 가서\n정체를 밝혀내겠어!	early-story	translated
C0-05D92E	[DFT][E2:04DC][PAU:3C][NXT]바로 그거야!\n[PAU:1E]촌장님이 개를 아주 싫어한다는 건\n마을 사람이라면 누구나 알아![FIN][NXT]자, [NAM:00]\n그 개를 촌장실까지\n데려와 줘.\n나는 먼저 가서\n취재 허가를 받아 둘게!	early-story	translated
C0-05DA21	[DFT]요즘 촌장님은\n일을 전혀 하지 않을 뿐 아니라\n주의를 준 직원들을\n차례로 [KATAKANA]해고[HIRAGANA]하고 있어![FIN]\n그것도 저 비서 [PAL:03][KATAKANA]로즈[HIRAGANA][PAL:00]라는 여자가\n온 뒤부터야.\n정말 한심한 노릇이지!	early-story	translated
C0-05DDAC	[DF4][E2:093C]이번에 정말 큰 활약을 했구나.\n앞으로도 잘 부탁한다.[FIN]\n이건 마을에서 보내는\n감사의 표시다.\n받아 주렴.[FIN]\n[NAM:00]은 [PAL:02]1000[KATAKANA]트론[HIRAGANA][PAL:00]을 받았다![TER]\n[DF4][E2:093C]그래, 난 처음부터\n너를 기대하고 있었단다.\n하하하.˳	early-story	translated
C0-05DE39	[DF4][E2:093C]나는 마을 주민과의\n[KATAKANA]소통[HIRAGANA]을 중요하게 여기거든.[FIN]\n너처럼 어린 주민과도\n[KATAKANA]일정[HIRAGANA] 사이에 시간을 내서\n이야기할 기회를 만들고 있지.\n하하하하하.[FIN]\n너도 오늘부터 [KATAKANA]로코코 마을[HIRAGANA]의\n주민이 된 셈이야.\n세상과 사람과 마을을 위해\n젊은 힘을 써 주렴.[FIN]\n여기 계신 [PAL:02][KATAKANA]페퍼[HIRAGANA] 박사[PAL:00]는\n유명한 발명가라고 하더구나.\n[KATAKANA]해커[HIRAGANA] 소문을 듣고\n힘을 보태러 와 주셨단다.[FIN][JMP]T[ESC][DF4][E2:0918]너도 [KATAKANA]페퍼[HIRAGANA] 박사처럼\n훌륭한 어른이 되거라.\n하하하하.˳	early-story	translated
C0-05DF60	[DF4][E2:0944]이분은 [PAL:02][KATAKANA]페퍼[HIRAGANA][PAL:00] 박사라고 하며\n유명한 발명가라네.[FIN]\n[KATAKANA]해커[HIRAGANA] 소문을 듣고\n[KATAKANA]해커 퇴치[HIRAGANA]에\n협력해 주시겠다고 하더군.\n정말 고마운 일이지.˳	early-story	translated
C0-05DFFF	[DF4][E2:09D4][KATAKANA]페퍼[HIRAGANA] 박사라면\n이제 여기 안 계시다, 꼬마야.[FIN]\n그분은 강가 동굴에\n아이들이 갇혔다는 말을 듣고\n자신의 발명품으로\n구출을 돕겠다고 하셨단다.[FIN][JMP][E2:D8E0][DFT]정말 소문대로\n훌륭한 발명가야.˳	early-story	translated
C0-05E2B5	[DFT][E2:093F]정말 귀여운 개구나.\n하지만 어른의 일터에\n개를 데려오면 안 된단다.[FIN][E2:044B]잠깐만![KATAKANA]아[HIRAGANA]—!\n[PAU:3C]촌장님! 언제부터 개를\n싫어하지 않게 되신 겁니까!?[FIN]\n전에는 개가 곁에 있기만 해도\n비명을 지르셨잖아요!\n이게 대체 어떻게 된 일입니까!?[FIN][E2:093C]저…[PAU:1E]그…[PAU:1E]그게…[NXT]이건…[FIN]…[NXT]흥!\n[NXT]들켰으니 어쩔 수 없지.\n내가 가짜 촌장이다.[FIN]\n정체는 [PAL:03][KATAKANA]해커 부사령관[HIRAGANA]\n[KATAKANA]로즈[HIRAGANA]님의 친위대다.[PAL:00]\n정체를 들킨 이상\n그냥 돌려보낼 수는 없지.[FIN]\n우리 마음의 버팀목인 [KATAKANA]로즈[HIRAGANA]님을 위해\n목숨을 내놓아라!	early-story	translated
C0-05E5CE	[DFT][E2:0549]바로 내가\n금세기가 낳은 천재 발명가\n[PAL:02][KATAKANA]페퍼 박사[HIRAGANA][PAL:00]다.[FIN]\n너도 발명가라고?\n캭캭, 너와 나는\n격도 품위도 다르단다.\n상대가 안 돼.[FIN]\n나에게 가르침을 받고 싶으냐?\n[PAU:14]캭캭캭, 안 돼, 안 돼.\n너 같은 아이에게\n가르칠 건 아무것도 없다!˳	early-story	translated
C0-05F445	[DFT][E2:0144]이건 [PAL:02]발명[KATAKANA] 머신[HIRAGANA][PAL:00]이라고 해.\n발명가가 여러 가지 발명품을 만들 때\n사용하는 [KATAKANA]머신[HIRAGANA]이야.[FIN]\n책을 읽거나 사람의 이야기를 듣고\n[PAL:02]떠오른 아이디어를 만들거나\n소지품을 [PAL:02]합성[PAL:00]할 수 있어.[FIN]\n그리고 [PAL:02]자신의 [E2:1A67]을 만들거나\n[KATAKANA]정비[HIRAGANA]와 [KATAKANA]파워 업[HIRAGANA][PAL:00]도\n할 수 있지.[FIN][JMP][CMD:F8][CMD:F4][DFT][E2:0159]그럼 [E2:1A67]을 만들어 볼까?\n발명가 1년 차인 [NAM:00]의\n든든한 동료가 되어 줄 거야.˳	early-story	translated
