# C0 translation review sheet generated from the verified catalog.
# id	offset	slot length	category	priority	duplicate of	translation	Japanese
C0-058743	0x058743	0x01C6	early-story	P1		translated	[DFT]┌こんにちは [KATAKANA]ミント[HIRAGANA]です\n 最近この町にとつぜんあらわれた\n [KATAKANA]ハッカー[HIRAGANA]の 真の目的とは?!\n その一部が あきらかになったわ[FIN] 彼らは [PAL:02][KATAKANA]ティアトロン[HIRAGANA][PAL:00]という石を\n さがしているらしいのよ\n でも その石の正体はまだ\n はっきりとは わからないわ[FIN] まだ [KATAKANA]ハッカー[HIRAGANA]については\n 不明なことが 多いけど\n ひきつづき この取材は\n やっていくつもりよ[FIN][JMP]K[BYTE:87][DFT]┌こんにちは [KATAKANA]ミント[HIRAGANA]です\n なんと 町長秘書の[KATAKANA]ローズ[HIRAGANA]さんは\n あの[KATAKANA]ハッカー[HIRAGANA]の一員だったことが\n あきらかになったわ![FIN] それに[KATAKANA]ハッカー[HIRAGANA]の手によって\n 本物の町長は かんきんされ\n にせものが 町長のかわりに\n 町長の仕事を行っていたのよ[FIN] [KATAKANA]ロココ町[HIRAGANA]を[KATAKANA]ハッカー[HIRAGANA]の手から\n 救ったのは [KATAKANA]ロココ町在住[HIRAGANA]の\n [NAM:00]くん!\n 彼の手で 町長も救出されたわ[FIN][JMP][HIRAGANA][BYTE:87][PAL:03] [KATAKANA]ロココ町事件記者[HIRAGANA] [KATAKANA]ミント[HIRAGANA][PAL:00]┘
C0-058AA3	0x058AA3	0x007B	early-town	P2		translated	[DFT]にいちゃん その家に\nひっこしてきたんだろ?\nじゃあ この町を步く幽本を\n[KATAKANA]ボク[HIRAGANA]が特別に 教えといてやるよ[FIN]人の家に入る時は[PAL:02][CMD:E2]名[KATAKANA]ボタン[HIRAGANA]で\n[KATAKANA]チャイム[HIRAGANA]をならす[PAL:00]んだぜ\n\n礼なら ひっこしそばでいいからな˳
C0-058B1F	0x058B1F	0x001E	early-town	P2		translated	[DFT]今 遊びに行く相談してるの\nあっち行っててよ˳
C0-058B3E	0x058B3E	0x0035	early-town	P2		translated	[DFT]このあいだは ありがとう\n変な奴だと思ってたんだけど\nにいちゃんって\nけっこうたよりになるじゃん!
C0-058B74	0x058B74	0x0029	early-town	P2		translated	[DFT]え?この間の発明品を返せ?\nや[KATAKANA]ー[HIRAGANA]だよ\nだって 面白いんだもん˳
C0-058BA8	0x058BA8	0x006F	early-story	P1		translated	[DFT]う·[PAU:1E]うわ[KATAKANA]ー[HIRAGANA]ん ごめんなさい!\nもう わるさしないよぉっ!\nこれも 返しますぅっ!![FIN] [NAM:00]は [PAL:02]びっくり[KATAKANA]ホーン[HIRAGANA][PAL:00]を\n とりかえした![TER][DFT]ぼ·ぼく もういたずらは\nあまりしないことにしたんだ\nほんとだよ!
C0-058C86	0x058C86	0x003F	early-town	P2		translated	[DFT]すげえ 大きな光が\n河原の方におちたんだぜっ!!\nきっとあれ UFOだよ!\n見に行きたいなあ[PAU:1E] く[KATAKANA]ー[HIRAGANA]っ!
C0-058DB6	0x058DB6	0x003F	early-town	P2		translated	[DFT]木の下で いねむりしてる\nじいちゃんの話って 面白いんだぜ\nきいたことある?\nいろんな 昔話をしてくれるんだ˳
C0-058DF6	0x058DF6	0x0034	early-town	P2		translated	[DFT]ぼくたち\n冒険の計画を練っているんだ\nでも くわしいことは\n教えてあげないよ [PAU:1E]ふふん˳
C0-058E2B	0x058E2B	0x0039	early-town	P2		translated	[DFT][KATAKANA]カール[HIRAGANA]が [KATAKANA]ハッカー[HIRAGANA]の[KATAKANA]アジト[HIRAGANA]を\nさがしに行こうって言いだしたんだ\n悪いのは [KATAKANA]ボク[HIRAGANA]じゃないよ!
C0-058E65	0x058E65	0x0056	early-town	P2		translated	[DFT]え?[KATAKANA]カール[HIRAGANA]?知らないよ\nまだ どうくつで\nひとりで\nがんばっているかもしれないぜ[FIN]あいつ ぜったいに\n[KATAKANA]ハッカー[HIRAGANA]の[KATAKANA]アジト[HIRAGANA]を さがすって\nはりきってたもんなあ˳
C0-058EBC	0x058EBC	0x0040	early-town	P2		translated	[DFT]今度は [KATAKANA]ボク[HIRAGANA]たち\n迷いの森の先にあるっていう\n[PAL:02]幽霊やしき[PAL:00]に たんけんに\n行こうかと思ってるんだ˳
C0-058EFD	0x058EFD	0x003A	early-town	P2		translated	[DFT]え?この間もらった 発明品?\nじゃんけんに負けて\n町の入口にいる子に\nとられちゃったんだ···˳
C0-059091	0x059091	0x002D	early-town	P2		translated	[DFT]お前 知ってるか?\n[CMD:E2]が雪ぼたん[HIRAGANA]を おしながら步くと\n早く 步けるんだぞ!
C0-0590BF	0x0590BF	0x003F	early-town	P2		translated	[DFT]町長に 会いに行くんだろ?\nだったら 犬をつれて行くと\nよろこぶと思うよ\n町長は 犬が大好きなんだ˳
C0-0590FF	0x0590FF	0x003A	early-town	P2		translated	[DFT]本当に 町長に会うのに\n犬を つれて行ったの?\nにいちゃんって\nだまされやすいんだね [PAU:1E]ふふんっ˳
C0-05913A	0x05913A	0x0029	early-town	P2		pending	[DFT]なんだよお\n今 重大会誄中なんだよ\n話だったら 後にしてくれよ˳
C0-059164	0x059164	0x0037	early-town	P2		pending	[DFT]あ!発明家のにいちゃんだ!\n発明家って すごいんだねえ!\nあこがれちゃうな[KATAKANA]ー[HIRAGANA]\n[KATAKANA]ドキドキ[HIRAGANA]˳
C0-059216	0x059216	0x0086	early-story	P1		translated	[DFT]ほお [PAU:1E]ぼうやが [KATAKANA]アキハバラ[HIRAGANA]さんの\n息子さんかね?\n[KATAKANA]アキハバラ[HIRAGANA]さんも 以前は\nこの町に 住んでおったんだよ[FIN]なんでも 発明とかに失敗して\n大さわぎになったことがあってな\n[PAU:1E]それから 町からはなれた所に\nうつりなさったようだがな˳
C0-05929D	0x05929D	0x0027	early-town	P2		translated	[DFT]まあ 若いうちは\n失敗をおそれずに いろいろと\nやってみることじゃよ˳
C0-0592C5	0x0592C5	0x0064	early-story	P1		translated	[DFT]いい天気じゃのお ぼうや\n話でもしていかんかね?\n うん 話そう\n 今は いいよ[TER][DFT]え?なんで雨にぬれてるかって?\nほれ よくいうじゃろ\n水もしたたる いい男とな\nほっほっほっほっ˳
C0-05932A	0x05932A	0x0076	early-town	P2		translated	[CLR]ぼうやに いいことを\n教えておいてやろう\n[KATAKANA]セーブデータ[HIRAGANA]を [KATAKANA]ロード[HIRAGANA]した時\nからだが 点めつするじゃろ?[FIN]あの時は [PAL:02]無敵状態[PAL:00]なんじゃよ\n敵に かこまれたりしたら\nそのすきに すばやく\nにげだすことじゃな˳
C0-0593A1	0x0593A1	0x0012	early-town	P2		pending	[CLR]そうか···\nさびしいのお···˳
C0-0593B4	0x0593B4	0x001A	early-town	P2		pending	[DFT][NXT]ぞ······[NXT]がはて?\nだれか よんだかのう?
C0-0593CF	0x0593CF	0x0014	early-town	P2		pending	[DFT]ほお ねずみか\nかわいいもんじゃのお˳
C0-059562	0x059562	0x0095	early-story	P1		translated	[DFT]むむっ お前が\n[KATAKANA]アキハバラ[HIRAGANA]の息子か?\n今度\nこの町にこしてきたそうだな[FIN]お前の おやじには\n発明品とかいう\nとんでもないもののおかげで\n迷惑を かけられたよ[FIN]お前まで 町の人たちに\nめいわくをかけたら\n子供でも ようしゃしないぞ\nくれぐれも 気をつけろよ!
C0-0595F8	0x0595F8	0x003C	early-town	P2		pending	[DFT]おとなしくしているか?\nなにしろ お前のおやじは\nいろいろ 問題をおこしたからな\nお前も ゆだんできやしない˳
C0-059635	0x059635	0x002A	early-town	P2		pending	[DFT]むっ···\nどうやら お前は\nおやじよりは 多少\n役にたつようじゃないか˳
C0-059660	0x059660	0x006E	early-town	P2		translated	[DF4]···ということで\nご迷惑を おかけしますが\n子供たちの 生命に\nかかわることですので[FIN]よろしく ご協力ください\nなお 河原は危険ですので\nみなさんも お気をつけて\n[PAU:1E]では まいりましょう˳
C0-059748	0x059748	0x0033	early-town	P2		translated	[DFT]むむっ!\nなんでおまえ こんな所を\nふらふらしているんだっ!?\n[PAU:1E]さっさと ろうやにもどれっ!!
C0-05977C	0x05977C	0x0059	early-story	P1		translated	[DFT]むむっ![PAU:28]おたずね者の\n[NAM:00]じゃないかっ![FIN][JMP][BYTE:B9][BYTE:A5][DFT]···話は きいたよ\n事情はどうあれ 無実の人を\nまちがえて たいほしたなんて\nおれは 情けないよ···˳
C0-0597D6	0x0597D6	0x0040	early-town	P2		translated	[DFT]最近なあ 町の子供が\n変な[KATAKANA]ラッパ[HIRAGANA]で 町の人に\nいたずらしているみたいなんだ\nつかまえて とっちめないとな!
C0-059817	0x059817	0x0046	early-town	P2		translated	[DFT][KATAKANA]ラッパ[HIRAGANA]でいたずらしていた子供も\nいたずらを やめたようだ\nみんなが 自分の悪い所を正せば\n警察なんて いらないよな˳
C0-05985E	0x05985E	0x001D	early-town	P2		pending	[DFT]な·なんだ おまえはっ!\n警察を なめているのかっ!
C0-05987C	0x05987C	0x0030	early-town	P2		pending	[DFT]なんだ [KATAKANA]ネズミ[HIRAGANA]か···\n[KATAKANA]ネズミ[HIRAGANA]といえども\n悪さをしたら\nようしゃは しないからなっ!
C0-0598AD	0x0598AD	0x00F7	early-story	P1		translated	[DFT][E2:187E]··だから 今の光が\nなんだったかと 聞いているんだ![FIN][PAL:02]男の子:\n[PAL:00]なんでだよ なんでだよ\n何で 河原に行っちゃいけないんだよ\n何がおちたか 見に行きたいよ[KATAKANA]ー[HIRAGANA]っ![FIN][PAL:02]おまわりさん:\n[PAL:00]おちついてください みなさん!\n[PAU:1E]たしかに今 [PAL:02]あやしい光[PAL:00]が\n[PAL:02]どうくつの方[PAL:00]へ 落ちました[FIN]しかし 正体がわからないまま\n河原へ行くのは 危険きわまりない!\nここは 私が見てまいりますので\nみなさんは 待っていてください!
C0-059A36	0x059A36	0x0047	early-town	P2		translated	[DFT]けいじ板には 町のお知らせや\n新聞が はられるんだ\n特にこの [PAL:03][KATAKANA]ミント[HIRAGANA][PAL:00]って娘が\n書いた記事が面白いんだよ˳
C0-059A7E	0x059A7E	0x003C	early-town	P2		pending	[DFT][KATAKANA]ミント[HIRAGANA]さんが···\n取材旅行だって···\n[KATAKANA]オレ[HIRAGANA]の 楽しみがあ···\n[KATAKANA]オレ[HIRAGANA]の 心の支えがあっ!
C0-059ABB	0x059ABB	0x0038	early-town	P2		pending	[DFT][KATAKANA]ミント[HIRAGANA]さんって すごいだろ?!\nでも [KATAKANA]ミント[HIRAGANA]さんが\n危険な目に あわなければ\nいいんだけどなあ˳
C0-059AF4	0x059AF4	0x003C	early-town	P2		pending	[DFT]町長が にせものと\nすりかわっていたなんてなあ···\nでも それをつきとめるなんて\n[KATAKANA]ミント[HIRAGANA]さんって すごいや!
C0-059B31	0x059B31	0x0026	early-town	P2		pending	[DFT]雨がふってても\n[KATAKANA]ミント[HIRAGANA]さんの 記事が読めれば\nしあわせなのさ˳
C0-059C34	0x059C34	0x004E	early-town	P2		translated	[DFT]ここも 平和な町だったんだけどねえ\n[KATAKANA]ハッカー[HIRAGANA]とかいう 奴らが来てから\nぶっそうになったんだよ 君も\nとじまりには気をつけた方がいいよ˳
C0-059C83	0x059C83	0x004C	early-town	P2		translated	[DFT]お前 [PAL:02][KATAKANA]ペッパー[HIRAGANA][PAL:00]って知ってる?\n有名な 発明家らしいけど\n今 この町に来ているんだって\nでも···聞いたことないなあ˳
C0-059CD0	0x059CD0	0x0040	early-town	P2		translated	[DFT]お前 行方不明の子供を\n助けたんだって?\nほうしょう金が出るって知ってりゃ\nまじめに さがすんだったよ˳
C0-059D11	0x059D11	0x0080	early-story	P1		translated	[DFT]お前 知ってる?\nなんでも最近 [KATAKANA]ロココ町[HIRAGANA]の住人に\n[PAL:02]南の島に無料ご招待[PAL:00]とかいう\n手紙が とどいているんだってさ[FIN]おれの所には きてないんだけどさ\nな[KATAKANA]ー[HIRAGANA]んで そういう話はいつも\nおれを 無視するんだろう?
C0-059D92	0x059D92	0x0045	early-town	P2		translated	[DFT]最近町長が 人が変わったように\n仕事をするようになったってさ\n人間 何がきっかけで変わるか\nわからないもんだね˳
C0-059DD8	0x059DD8	0x003B	early-town	P2		translated	[DFT]あの まじめな町長は\nにせものだったんだってね\nやっぱ 人間ってそうかんたんに\n変われるもんじゃないよね˳
C0-059E14	0x059E14	0x0036	early-town	P2		translated	[DFT]さっき 步いてたらさあ\nいきなり子供に\n[KATAKANA]ラッパ[HIRAGANA]でおどかされて\nいや[KATAKANA]ー[HIRAGANA] びっくりしたのなんの!
C0-059E4B	0x059E4B	0x0017	early-town	P2		pending	[DFT]びっくりしたなあ もう!\nおどかさないでよ!
C0-059E63	0x059E63	0x0031	early-town	P2		pending	[DFT]さっき 河原の方にさあ\n大きな光が 飛んでいったんだよ\nもう びっくりしたのなんの!
C0-059EE8	0x059EE8	0x003D	early-town	P2		translated	[DFT]え?[PAU:0A]困ったことがあるなら\n話してみろって?\nははは 君にはむずかしい話だよ\n気持ちだけで じゅうぶんさ˳
C0-059FB9	0x059FB9	0x0020	early-town	P2		pending	[DFT]あそんでほしい [KATAKANA]ワン[HIRAGANA]!\nどこか つれてってほしい[KATAKANA]ワン[HIRAGANA]!
C0-059FFE	0x059FFE	0x0012	early-town	P2		pending	[DFT] ···犬の[KATAKANA]フン[HIRAGANA]をみつけた!
C0-05A011	0x05A011	0x0012	early-town	P2		pending	[DFT] ···鳥の[KATAKANA]フン[HIRAGANA]をみつけた!
C0-05A070	0x05A070	0x000C	early-town	P2		pending	[DFT]\nきゃいん きゃいん\n
C0-05A07D	0x05A07D	0x0033	early-town	P2		pending	[DFT]うちの ご主人さまは\n気が強くて 言うことをきかないと\n耳をひっぱるんだ[KATAKANA]ワン[HIRAGANA]···˳
C0-05A118	0x05A118	0x0044	early-town	P2		pending	[DFT]この犬 かわいいでしょ\n名前はねえ [KATAKANA]ターボ[HIRAGANA][PAU:1E]って言うの\nおばあちゃまが 昔かっていた犬と\nおなじ名前をつけたの˳
C0-05A15D	0x05A15D	0x006E	early-town	P2		translated	[DFT]男の子たちね [PAU:1E][PAL:02]河原のどうくつに\n[KATAKANA]ハッカー[HIRAGANA]の[KATAKANA]アジト[HIRAGANA]を\nさがしに行くって[PAL:00]言ってたわ[FIN]ああ 男って\n夢を追う 生き物よねえ\n[PAU:1E]でも そうなんするのは\n[KATAKANA]チョット[HIRAGANA]かっこわるいわね˳
C0-05A1CC	0x05A1CC	0x0025	early-town	P2		translated	[DFT][NXT]じ······\n[NXT]があたしの 犬の方が\nかわいいわよ\n[PAU:1E]ふんっ!
C0-05A245	0x05A245	0x003F	early-town	P2		translated	[DFT]急に 地しんがおきたんで\nあわてて 外に出たんだがな\nその時 何かが森の方角で\n光ったのが見えたんだ!
C0-05A3A8	0x05A3A8	0x0041	opening	P1		translated	[DF4][DF2]が[NAM:00] [PAU:3C][NAM:00]\n[PAU:3C]いいかげんに 起きたらどうだ?[TPL:D8][DF2]が···[PAU:1E]そうか\n起きる気がないんだな···\nそれなら···
C0-05A3EA	0x05A3EA	0x008F	opening	P1		translated	[DLY:E0]ぐはっはっはっ\nさすがに 目がさめただろう\nしかし よくねむっていたなあ[FIN]おまえが ねている間に\nひっこしの片づけは\n全部 終わってしまったぞ[FIN]さあ はやく起きて\n[PAL:02][KATAKANA]ナギサ[HIRAGANA][PAL:00]くんに あいさつしておいで\n彼女は おまえの分まで\n片づけをしてくれたんだぞ˳
C0-05A4B9	0x05A4B9	0x0023	opening	P1		pending	[CLR]いがぐだ[POS:8102][BYTE:B2]ぅ[POS:0416][BOX:0C0100][DF2]が[NXT]じ··········[NAM:00][NXT]が
C0-05A4DD	0x05A4DD	0x002C	opening	P1		translated	[DFT][DF2]がたのむ···![NAM:00]!\n[PAU:32]はやく 目をさまして\n元気な姿を 見せてくれ!
C0-05A549	0x05A549	0x0009	opening	P1		pending	[CLR]ˎがぐぽ[BYTE:8F][BYTE:A5]ぐだ
C0-05A573	0x05A573	0x00B5	early-story	P1		translated	[DFT][PAL:02]おまわりさん:\n[PAL:00]帰ってきたな![NAM:00]![FIN][JMP][BYTE:B9][BYTE:A5][DD][PAL:03][KATAKANA]ナギサ[HIRAGANA]:\n[PAL:00]ああ よかった\n[NAM:00] あのね···[FIN][PAL:02]おまわりさん:\n[PAL:00]もんどうむよ[KATAKANA]ー[HIRAGANA]っ![NAM:00]!\n問題をおこすなと言ったのに\nやはり 血はあらそえんなっ![FIN]お前に[PAL:02]宝石3つ[PAL:00]をぬすまれたと\n町長から とどけが出ているぞ!\nしんみょうに おなわを\nちょうだいしろっ!!
C0-05A75A	0x05A75A	0x000D	early-town	P2		pending	[DFT][E2:063D]ぅ···にゃああん
C0-05A768	0x05A768	0x003A	early-town	P2		pending	[DFT][E2:063F]いらの ご主人樣は\n[KATAKANA]アキハバラ博士[HIRAGANA]だけだ[KATAKANA]ニャ[HIRAGANA]\nお前は別に ご主人じゃない[KATAKANA]ニャ[HIRAGANA]˳
C0-05A9BE	0x05A9BE	0x0036	early-town	P2		translated	[DFT][E2:0258]ら 今日は 町長さんの所に\nあいさつにも 行くんだろ?\n早くしないと 日がくれるぞ˳
C0-05A9F5	0x05A9F5	0x00FC	early-story	P1		translated	[DFT][E2:023F]お [NAM:00]か\nあいさつは 終わったか?[FIN]ん?この本か?これはな\n[KATAKANA]アキハバラ家[HIRAGANA]に 先祖代々伝わる\n[PAL:02][E2:1A53]本[PAL:00]だよ\nおまえに やろうと思ってな[FIN]まずは [E2:1A67]作ることが\nおまえの 最初の仕事だぞ\nがんばって読んで 作ってごらん[FIN]さて···[PAU:28]とうさんは\n郊外の家に もどるからな\n困ったことがあったら\n相談にきなさい[FIN]今日から [KATAKANA]ナギサ[HIRAGANA]くんは\nお前の 助手になってくれるそうだ\n助手を こまらせないよう\nしっかり がんばるんだぞ˳
C0-05AB04	0x05AB04	0x00BB	early-story	P1		translated	[DFT][E2:02C2]がか\n[PAU:14]子供たちを 助けたそうじゃないか\nよくやったな えらいぞ[FIN]ところでな [PAU:1E]とうさんは しばらく\n友人の [PAL:02][KATAKANA]フラボノ[HIRAGANA][PAL:00]さんと\n旅に出ることにした\n帰りは いつになるかわからん[FIN]とうさんがいなくても\nお前は うまくやってけるだろう\n[KATAKANA]クロガネ[HIRAGANA]は あずけていくからな\nめんどう見てやってくれ[FIN]じゃあな [PAU:1E][NAM:00][PAU:1E]\nがんばるんだぞ˳
C0-05ABC0	0x05ABC0	0x0134	early-story	P1		translated	[DFT][E2:0260]·[PAU:3C][NXT]ぎよかった!気がついたか!\n[NXT]が[PAU:3C]どうした?[PAU:1E]どこか いたむのか!?[FIN]え?[PAU:1E]過去の[KATAKANA]ロココ町[HIRAGANA]だって?\n[PAU:32]はっはっはっ\nそうか 夢を見ていたんだな\n[PAU:1E]ここは おまえの家だよ[FIN]おぼえてるか?\n[PAU:28]とうさんは [KATAKANA]スイッチ[HIRAGANA]がおされたら\n要塞が 自爆するように\n[KATAKANA]レーザー裝置[HIRAGANA]を 改造したんだ[FIN]それで要塞が 爆発して···\n[PAU:28]おまえは 要塞の[KATAKANA]ガレキ[HIRAGANA]の中で\nたおれていたんだよ\n[PAU:28]無事で 本当によかった[FIN]え?[PAU:3C][E2:000F]\n[PAU:1E]安心しなさい [KATAKANA]ガレキ[HIRAGANA]の中から\nちゃんと ひろっておいたよ\n[PAU:1E]そのことは 今度ゆっくり話そうな˳
C0-05ACF5	0x05ACF5	0x0053	early-story	P1		translated	[DFT] [NAM:00]は\n[PAL:02] 石1[PAL:00]を 手に入れた![TER][DFT]なんだ 持ち物がいっぱいなのか?\nじゃあ これはあずかっておくぞ\n[PAU:1E]少し持ち物を 片づけたらどうだ?
C0-05AD49	0x05AD49	0x0032	early-town	P2		translated	[DFT][E2:023F]いおい 起きたりして\n本当に もう平気なのか?\n[PAU:1E]まだ 無理しちゃいかんぞ˳
C0-05AD7C	0x05AD7C	0x003A	early-town	P2		translated	[DFT][E2:02C2]が[PAU:1E] 本当に平気なのか?\n[PAU:28]それなら 自由にしていいが\nあまり 無理はするんじゃないぞ˳
C0-05ADB7	0x05ADB7	0x0159	early-story	P1		translated	[DFT][E2:023F]まえ あの人たちの話をどう思う?\n 信じて いいと思う\n なんか あやしいと思う[TER][CLR]そ·そうか?\n[PAU:1E]とうさんは あの人たちは\n悪い人たちじゃないように\n思えてな···[TPL:D0]···そうか おまえもか\n[PAU:1E]とうさんも あの人たちは\n悪い人たちじゃないように\n思えてな···[TPL:D7]それでだ [PAU:1E]この3つの[E2:0067]\nおまえにたくすことにした\n[PAU:1E]おまえも もうりっぱな大人だ\nこれを 正しく使ってくれるだろう˳[TPL:D7][E2:024E]うさんが言うのも なんだけどな\nおまえ [PAU:1E]ここしばらくで\nずいぶん大きくなったんじゃないか?[FIN]いやその [PAU:1E]背の高さじゃないぞ···\n[PAU:3C]とにかく [PAU:1E][E2:0054]まかせた\nあの人たちのために役立てたいなら\nそうしてあげなさい˳
C0-05AF11	0x05AF11	0x002B	early-town	P2		translated	[DFT][E2:0280]Mち物が いっぱいなんだろう?\nほら まあ とにかく\n片づけたら どうだ?
C0-05AF3D	0x05AF3D	0x009C	early-story	P1		translated	[DFT] [NAM:00]は\n[PAL:02] 石1[PAL:00]を 手に入れた![FIN] [NAM:00]は\n[PAL:02] 石2[PAL:00]を 手に入れた![FIN] [NAM:00]は\n[PAL:02] 石3[PAL:00]を 手に入れた![TER][DFT][E2:0206]ゃあ これは返しておくぞ\nたいせつなものだと\nいけないからな[TPL:D7][E2:024F]んだ まだ持ち物を\n片づけてないのか···\nこれ [PAU:1E]とうさんがもらっちゃうぞ?
C0-05AFDA	0x05AFDA	0x002D	early-story	P1		translated	[DFT][E2:027E]··おまえ [NAM:00]だろう?\nはっはっはっ とうさんの目は\nごまかされないからなっ!
C0-05B110	0x05B110	0x02DD	early-story	P1		translated	[DFT][E2:154E]つぜんのことで とまどわれると\n思いますが 私どもは\n[PAL:02][KATAKANA]ショコラ星[HIRAGANA][PAL:00]という星からまいりました[TPL:D7]こちらは [KATAKANA]ショコラ星[HIRAGANA]の王女\n[PAL:03][KATAKANA]ティラミス[HIRAGANA][PAL:00]さまで いらっしゃいます\n[NAM:00]さまに おりいって\nおねがいがありまして まいりました[TPL:D7]実は今 [KATAKANA]ショコラ星[HIRAGANA]は\n[PAL:02][KATAKANA]ハッカー[HIRAGANA][PAL:00]と名のる軍団に\nこうげきをうけ [PAU:1E]地表はやきつくされ\nやむなく[KATAKANA]シェルター[HIRAGANA]にのがれてます[FIN][E2:0E49]れでですわね [PAU:1E]私のご先祖さまに\n[PAL:03][KATAKANA]ミルフィ[HIRAGANA][PAL:00][PAU:1E]という方がいまして···\n[PAU:1E]あなたに[PAU:1E]お会いするようにと···[TPL:D7][E2:15DC]ぎ姫樣![PAU:28]じいが 説明いたします!\n[PAU:28][NXT]が姫樣の ご説明では\nお話が 長くなりますからな[TPL:D7]あなた樣が [E2:004F]るものを\n持っているはずだから\nその力を借りるよう [PAL:03][KATAKANA]ミルフィ[HIRAGANA][PAL:00]樣は\nごゆいごんを 残されているのです[FIN][KATAKANA]ハッカー[HIRAGANA]は 強大な力を持つ\n[PAL:02]宇宙要塞[PAL:00]を 持っています\nそれを はかいする方法を知るために\n[E2:0000] 必要となるのです[FIN][E2:023D]む···\n[PAU:1E]いきなり 信じられる話ではないな[FIN][E2:1504]もっともでございます\nですから とりあえずは\nこれを おわたししておきます[FIN]もし ご協力いただけるのでしたら\nこれを お使いください\nこれは [KATAKANA]ショコラ星[HIRAGANA]にあなた樣を\nご案内いたします 乘物でございます[TPL:D7] [NAM:00]は\n[PAL:02] 宇宙船[PAL:00]を 手に入れた![TER][DFT]では わたくしどもは\nこれにて 失礼いたします\nよいお返事をお待ちしております\n[PAU:3C]さあ 姫樣 [PAU:1E]まいりましょう˳
C0-05B3EE	0x05B3EE	0x0038	early-town	P2		pending	[DFT]おや···\n持ち物がいっぱいのようで···\nお手数ですが 持ち物を\n片づけていただけませんかな˳
C0-05B4AA	0x05B4AA	0x00B2	early-story	P1		translated	[DFT][E2:0E7E]··あの···\n[PAU:3C]なにとぞ よろしくおねがいします\n[PAU:1E]あらゆる手は つくしてきました[FIN]でも [NAM:00]さまと 本当に\nお目に かかることができ\n[PAU:1E]わたくしは はじめて[PAU:1E] 希望の光を\n[PAU:1E]見た気が いたしますわ[FIN]どうか [PAU:1E][KATAKANA]ショコラ星[HIRAGANA]に\nおいでくださいませね\n[PAU:3C]また [PAU:1E]お目にかかれるのを\n[PAU:1E]たのしみにしております˳
