# English physical dialogue catalog; translation fields are intentionally blank until review.
record_id	region	start_offset	terminator_offset	length_without_terminator	raw_hex	control_summary	ascii_chars	line_breaks	page_breaks	has_highlight	classification	english	korean_translation	translation_status	required_hangul	missing_hangul	length_delta
EN-058489	main-dialogue-1	0x058489	0x05857F	246	D7 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E CD 20 52 75 6D 6F 72 20 E3 18 69 74 20 E3 00 4D 61 79 6F 72 CD 20 73 70 65 6E 64 73 20 E3 71 E3 44 E3 54 77 69 74 68 CD 20 E3 00 6E 65 77 20 73 65 63 72 65 74 61 72 79 2E D1 20 E3 1A 61 6C 77 61 79 73 20 E3 60 74 6F CD 20 69 6D 70 72 65 73 73 20 68 65 72 2E CD 20 45 76 65 6E 20 74 68 6F 75 67 68 20 E3 41 6F 6C 64 CD 20 65 6E 6F 75 67 68 20 74 6F 20 62 65 20 E3 F6 66 61 74 68 65 72 21 D1 20 E3 04 E3 11 E3 18 61 CD 20 72 65 70 75 74 61 74 69 6F 6E 20 61 73 20 61 20 68 61 6D 2E CD 20 49 20 77 6F 6E 64 65 72 20 69 66 20 68 65 20 6B 6E 6F 77 73 3F D1 20 43 68 65 65 72 20 75 70 2C 20 4D 72 2E 4D 61 79 6F 72 21 5D CD CD CD 20 20 20 20 20 20 4D 69 6E 74 2C 20 E3 9B 52 65 70 6F 72 74 65 72	00:2 03:1 04:1 11:1 18:2 1A:1 9B:1 CD:11 D1:3 D7:1 E3:15 F6:1	206	11	3	False	confirmed-record	[TOP][Hello. [E3][03]Mint.\n Rumor [E3][18]it [E3][00]Mayor\n spends [E3]q[E3]D[E3]Twith\n [E3][00]new secretary.\f [E3][1A]always [E3]`to\n impress her.\n Even though [E3]Aold\n enough to be [E3][F6]father!\f [E3][04][E3][11][E3][18]a\n reputation as a ham.\n I wonder if he knows?\f Cheer up, Mr.Mayor!]\n\n\n      Mint, [E3][9B]Reporter		pending			
EN-058580	main-dialogue-1	0x058580	0x05899A	1050	D7 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E CD 20 E3 0D 74 65 72 72 69 62 6C 65 2C CD 20 E3 0E 62 75 73 69 6E 65 73 73 20 61 62 6F 75 74 CD 20 E3 00 E3 6F 63 68 69 6C 64 72 65 6E 21 D1 20 52 75 6D 6F 72 20 E3 18 69 74 20 E3 00 4D 61 79 6F 72 CD 20 61 73 6B 65 64 20 61 6E 20 C3 02 69 74 69 6E 65 72 61 6E 74 CD 20 69 6E 76 65 6E 74 6F 72 C3 00 20 E3 0C 68 65 6C 70 2E D1 20 E3 88 E3 2B 68 65 20 61 73 6B 20 61 6E CD 20 75 6E 6B 6E 6F 77 6E 20 E3 47 74 6F 20 68 65 6C 70 CD 20 E3 10 E3 21 74 68 61 74 60 73 CD 20 73 6F 20 69 6D 70 6F 72 74 61 6E 74 3F D1 20 4D 61 6B 65 73 20 6D 65 20 6E 65 72 76 6F 75 73 2E CD CD CD D3 81 89 D7 20 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E CD 20 49 74 20 E3 D9 E3 00 63 68 69 6C 64 72 65 6E CD 20 E3 02 E3 3C 66 6F 75 6E 64 2E D1 20 E3 1A E3 FE E3 3A 67 6F 6F 64 CD 20 74 68 69 6E 67 73 2C 20 E3 22 E3 41 68 61 64 CD 20 E3 35 61 73 20 6D E3 BE 66 61 69 6C 75 72 65 73 2E D1 20 49 20 E3 2F E3 4A 62 79 20 63 68 61 6E 63 65 2E CD 20 55 73 75 61 6C 6C 79 20 E3 00 E3 E2 6F 72 CD 20 74 6F 77 6E 73 E3 E7 E3 30 E3 AC 6F 66 CD 20 74 68 69 73 2C 20 E3 1E 69 6E 76 65 6E 74 6F 72 73 2E D1 20 57 65 20 E3 4E 64 6F 20 73 6F 6D 65 74 68 69 6E 67 2E CD 20 E3 19 61 20 62 6F 74 68 65 72 2E CD CD D3 81 89 D7 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E CD 20 49 20 E3 02 E3 3A 62 61 64 20 6E 65 77 73 2E CD 20 E3 24 73 65 63 74 69 6F 6E 20 69 73 20 63 6C 6F 73 65 64 CD 20 E3 0C 61 6E 20 69 6E 76 65 73 74 69 67 61 74 69 6F 6E 21 D1 20 E3 28 74 68 65 CD 20 69 6E 76 65 73 74 69 67 61 74 69 6F 6E 20 69 73 20 6F 76 65 72 2C CD 20 74 68 65 72 65 60 6C 6C 20 62 65 20 61 20 68 75 67 65 20 73 63 6F 6F 70 CD 20 E3 0C 65 76 65 72 79 6F 6E 65 21 20 49 20 70 72 6F 6D 69 73 65 21 5D D1 20 45 76 65 72 79 6F 6E 65 2C CD 20 77 61 74 63 68 20 E3 0E 73 70 61 63 65 21 CD CD D3 81 89 D7 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E D1 20 E3 88 65 78 61 63 74 6C 79 20 E3 02 73 6F 20 6D 61 6E 79 CD 20 E3 46 E3 3C 68 65 72 65 CD 20 6C 61 74 65 6C 79 3F 20 4F 6E 65 20 72 65 61 73 6F 6E CD 20 69 73 20 63 6C 65 61 72 2E D1 20 E3 04 C3 02 54 65 74 72 6F 6E C3 00 20 53 74 6F 6E 65 CD 20 69 73 20 E3 23 E3 DB 77 61 6E 74 2E CD 20 E3 36 6E 6F 20 E3 78 E3 D5 E3 23 69 74 CD 20 61 63 74 75 61 6C 6C 79 20 E3 91 6C 69 6B 65 2E D1 20 4E 6F 74 20 6D 75 63 68 20 69 73 20 6B 6E 6F 77 6E 20 61 62 6F 75 74 CD 20 E3 00 48 61 63 6B 65 72 73 2C D1 20 E3 22 49 20 69 6E 74 65 6E 64 CD 20 74 6F 20 63 6F 6E 74 69 6E 75 65 20 67 61 74 68 65 72 69 6E 67 CD 20 69 6E 66 6F 72 6D 61 74 69 6F 6E 20 E3 0A 74 68 65 6D 2E D1 D3 B9 87 D7 5B 48 65 6C 6C 6F 2E 20 E3 03 4D 69 6E 74 2E CD 20 E3 0D 63 6C 65 61 72 20 E3 00 6E 65 77 CD 20 E3 7A 52 6F 73 65 2C 20 69 73 CD 20 E3 78 6F 66 20 E3 00 48 61 63 6B 65 72 73 21 D1 20 E3 04 E3 46 68 61 76 65 CD 20 6B 69 64 6E 61 70 70 65 64 20 E3 00 E3 CD 4D 61 79 6F 72 CD 20 E3 08 72 65 70 6C 61 63 65 64 20 E3 5A 77 69 74 68 CD 20 61 20 66 61 6B 65 20 4D 61 79 6F 72 2E D1 20 E3 04 E3 78 E3 A0 E3 95 52 6F 63 6F 63 6F CD 20 E3 1F E3 00 E3 46 69 73 CD 20 C2 00 21 20 E3 04 4D 61 79 6F 72 CD 20 E3 16 73 61 76 65 64 2C 20 74 6F 6F 2E D1 D3 6A 88 C3 03 20 20 20 20 4D 69 6E 74 2C 20 E3 9B 52 65 70 6F 72 74 65 72 C3 00 5D	00:13 02:5 03:6 04:4 08:1 0A:1 0C:3 0D:2 0E:2 10:1 16:1 18:1 19:1 1A:1 1E:1 1F:1 81:3 87:1 88:3 89:3 91:1 95:1 9B:1 A0:1 AC:1 B9:1 BE:1 C2:1 C3:6 CD:49 D1:16 D3:5 D5:1 D7:5 D9:1 DB:1 E2:1 E3:81 E7:1 FE:1	820	49	16	True	confirmed-record	[TOP][Hello. [E3][03]Mint.\n [E3][0D]terrible,\n [E3][0E]business about\n [E3][00][E3]ochildren!\f Rumor [E3][18]it [E3][00]Mayor\n asked an [YELLOW]itinerant\n inventor[/HIGHLIGHT] [E3][0C]help.\f [E3][88][E3]+he ask an\n unknown [E3]Gto help\n [E3][10][E3]!that`s\n so important?\f Makes me nervous.\n\n\n[D3][81][89][TOP] [Hello. [E3][03]Mint.\n It [E3][TOP2][E3][00]children\n [E3][02][E3]<found.\f [E3][1A][E3][FE][E3]:good\n things, [E3]"[E3]Ahad\n [E3]5as m[E3][BE]failures.\f I [E3]/[E3]Jby chance.\n Usually [E3][00][E3][E2]or\n towns[E3][E7][E3]0[E3][AC]of\n this, [E3][1E]inventors.\f We [E3]Ndo something.\n [E3][19]a bother.\n\n[D3][81][89][TOP][Hello. [E3][03]Mint.\n I [E3][02][E3]:bad news.\n [E3]$section is closed\n [E3][0C]an investigation!\f [E3](the\n investigation is over,\n there`ll be a huge scoop\n [E3][0C]everyone! I promise!]\f Everyone,\n watch [E3][0E]space!\n\n[D3][81][89][TOP][Hello. [E3][03]Mint.\f [E3][88]exactly [E3][02]so many\n [E3]F[E3]<here\n lately? One reason\n is clear.\f [E3][04][YELLOW]Tetron[/HIGHLIGHT] Stone\n is [E3]#[E3][DB]want.\n [E3]6no [E3]x[E3][D5][E3]#it\n actually [E3][91]like.\f Not much is known about\n [E3][00]Hackers,\f [E3]"I intend\n to continue gathering\n information [E3][0A]them.\f[D3][B9][87][TOP][Hello. [E3][03]Mint.\n [E3][0D]clear [E3][00]new\n [E3]zRose, is\n [E3]xof [E3][00]Hackers!\f [E3][04][E3]Fhave\n kidnapped [E3][00][E3]\nMayor\n [E3][08]replaced [E3]Zwith\n a fake Mayor.\f [E3][04][E3]x[E3][A0][E3][95]Rococo\n [E3][1F][E3][00][E3]Fis\n [NAME]! [E3][04]Mayor\n [E3][16]saved, too.\f[D3]j[88][PINK]    Mint, [E3][9B]Reporter[/HIGHLIGHT]]		pending			
EN-058B34	main-dialogue-1	0x058B34	0x058BBE	138	D7 E3 09 E3 4E E3 02 E3 35 6D 6F 76 65 64 CD 69 6E 74 6F 20 E3 15 E3 9E 49 CD 62 65 74 74 65 72 20 E3 4F E3 01 61 20 6C 69 74 74 6C 65 CD E3 0A E3 0E 74 6F 77 6E 2E D1 41 6C 77 61 79 73 20 72 69 6E 67 20 E3 00 64 6F 6F 72 62 65 6C 6C CD C3 02 E3 F2 65 6E 74 65 72 69 6E 67 20 61 20 E3 9E CD E3 09 E3 94 E3 26 69 6E 20 74 72 6F 75 62 6C 65 2E CD E3 8C 67 6F 20 65 78 70 6C 6F 72 69 6E 67 20 6C 61 74 65 72 21 C3 00	00:2 01:1 02:2 09:2 0A:1 0E:1 15:1 8C:1 94:1 9E:2 C3:2 CD:6 D1:1 D7:1 E3:17 F2:1	96	6	1	True	confirmed-record	[TOP][E3][09][E3]N[E3][02][E3]5moved\ninto [E3][15][E3][9E]I\nbetter [E3]O[E3][01]a little\n[E3][0A][E3][0E]town.\fAlways ring [E3][00]doorbell\n[YELLOW][E3][F2]entering a [E3][9E]\n[E3][09][E3][94][E3]&in trouble.\n[E3][8C]go exploring later![/HIGHLIGHT]		pending			
EN-058BBF	main-dialogue-1	0x058BBF	0x058BE0	33	D7 E3 8F E3 B6 E3 0A 67 6F 69 6E 67 CD E3 4A 74 6F 20 E3 02 66 75 6E 2E 20 47 6F 20 61 77 61 79 21	02:1 0A:1 8F:1 B6:1 CD:1 D7:1 E3:5	22	1	0	False	confirmed-record	[TOP][E3][8F][E3][B6][E3][0A]going\n[E3]Jto [E3][02]fun. Go away!		pending			
EN-058BE1	main-dialogue-1	0x058BE1	0x058C27	70	D7 E3 A2 E3 0C E3 71 79 6F 75 60 76 65 CD 64 6F 6E 65 2E 20 41 74 20 66 69 72 73 74 20 49 20 74 68 6F 75 67 68 74 CD E3 01 E3 63 73 74 72 61 6E 67 65 2C 20 62 75 74 CD E3 13 64 65 70 65 6E 64 61 62 6C 65 21 21	01:1 0C:1 13:1 A2:1 CD:3 D7:1 E3:6	56	3	0	False	confirmed-record	[TOP][E3][A2][E3][0C][E3]qyou`ve\ndone. At first I thought\n[E3][01][E3]cstrange, but\n[E3][13]dependable!!		pending			
EN-058C28	main-dialogue-1	0x058C28	0x058C60	56	D7 E3 2E 47 69 76 65 20 E3 3E 74 68 65 CD 69 6E 76 65 6E 74 69 6F 6E 3F 20 49 20 E3 07 74 68 69 6E 6B CD 73 6F 2E 20 56 65 72 79 20 69 6E 74 65 72 65 73 74 69 6E 67 2E	07:1 CD:2 D7:1 E3:3	49	2	0	False	confirmed-record	[TOP][E3].Give [E3]>the\ninvention? I [E3][07]think\nso. Very interesting.		pending			
EN-058C61	main-dialogue-1	0x058C61	0x058C74	19	D7 2E 2E 2E 57 68 6F 2E 2E 20 E3 A0 69 73 20 69 74 3F 3F	A0:1 D7:1 E3:1	16	0	0	False	confirmed-record	[TOP]...Who.. [E3][A0]is it??		pending			
EN-058C75	main-dialogue-1	0x058C75	0x058CF3	126	D7 57 61 61 61 68 21 20 C9 1E 49 2E 2E 2E 20 E3 03 73 6F 72 72 79 21 CD 49 20 E3 67 64 6F 20 E3 B2 62 61 64 21 CD E3 06 E3 37 69 74 20 62 61 63 6B 21 21 D1 C2 00 20 E3 18 74 61 6B 65 6E 20 62 61 63 6B CD E3 00 C3 02 48 6F 72 6E C3 00 21 CC D7 49 2E 2E 2E 20 E3 53 64 65 63 69 64 65 64 20 6E 6F 74 CD 74 6F 20 6D 69 73 62 65 E3 02 61 6E 79 6D 6F 72 65 21 CD 48 6F 6E 65 73 74 21	00:3 02:2 03:1 06:1 18:1 1E:1 B2:1 C2:1 C3:2 C9:1 CC:1 CD:5 D1:1 D7:2 E3:9	94	5	1	True	confirmed-record	[TOP]Waaah! [C9][1E]I... [E3][03]sorry!\nI [E3]gdo [E3][B2]bad!\n[E3][06][E3]7it back!!\f[NAME] [E3][18]taken back\n[E3][00][YELLOW]Horn[/HIGHLIGHT]![CC][TOP]I... [E3]Sdecided not\nto misbe[E3][02]anymore!\nHonest!		pending			
EN-058D63	main-dialogue-1	0x058D63	0x058DAA	71	D7 41 20 68 75 67 65 20 6C 69 67 68 74 20 66 65 6C 6C 20 6F 6E CD E3 00 72 69 76 65 72 62 61 6E 6B 21 CD E3 73 E3 1B 61 20 55 46 4F 2E D1 49 20 E3 29 74 6F 20 E3 30 61 20 6C 6F 6F 6B 2E CD C9 1E 53 6E 6F 72 65 21	00:1 1B:1 1E:1 C9:1 CD:3 D1:1 D7:1 E3:5	57	3	1	False	confirmed-record	[TOP]A huge light fell on\n[E3][00]riverbank!\n[E3]s[E3][1B]a UFO.\fI [E3])to [E3]0a look.\n[C9][1E]Snore!		pending			
EN-058E9B	main-dialogue-1	0x058E9B	0x058EE7	76	D7 E3 62 67 75 79 20 73 6E 6F 6F 7A 69 6E 67 CD 75 6E 64 65 72 20 E3 00 74 72 65 65 20 74 65 6C 6C 73 20 73 6F 6D 65 CD E3 B5 6F 6C 64 20 73 74 6F 72 69 65 73 2E CD 48 61 76 65 20 E3 01 74 61 6C 6B 65 64 20 74 6F 20 68 69 6D 3F	00:1 01:1 B5:1 CD:3 D7:1 E3:4	65	3	0	False	confirmed-record	[TOP][E3]bguy snoozing\nunder [E3][00]tree tells some\n[E3][B5]old stories.\nHave [E3][01]talked to him?		pending			
EN-058EE8	main-dialogue-1	0x058EE8	0x058F2F	71	D7 E3 8F 70 6C 61 6E 6E 69 6E 67 20 74 6F 20 67 6F 20 6F 6E CD 61 6E 20 61 64 76 65 6E 74 75 72 65 2E 20 42 75 74 CD E3 03 E3 1E E3 25 74 6F 20 67 69 76 65 CD E3 01 E3 00 64 65 74 61 69 6C 73 2E C9 1E 20 48 61 21	00:1 01:1 03:1 1E:2 8F:1 C9:1 CD:3 D7:1 E3:6	54	3	0	False	confirmed-record	[TOP][E3][8F]planning to go on\nan adventure. But\n[E3][03][E3][1E][E3]%to give\n[E3][01][E3][00]details.[C9][1E] Ha!		pending			
EN-058F30	main-dialogue-1	0x058F30	0x058F67	55	D7 49 74 20 E3 16 43 61 72 6C 60 73 20 69 64 65 61 20 74 6F CD E3 C6 E3 0C E3 00 48 61 63 6B 65 72 60 73 CD 68 69 64 65 6F 75 74 2E 20 E3 0D E3 44 66 61 75 6C 74 21	00:1 0C:1 0D:1 16:1 C6:1 CD:2 D7:1 E3:6	41	2	0	False	confirmed-record	[TOP]It [E3][16]Carl`s idea to\n[E3][C6][E3][0C][E3][00]Hacker`s\nhideout. [E3][0D][E3]Dfault!		pending			
EN-058F68	main-dialogue-1	0x058F68	0x058FBF	87	D7 E3 2E 43 61 72 6C 3F 20 49 20 E3 07 6B 6E 6F 77 2E CD E3 73 E3 41 E3 8D 77 6F 72 6B 69 6E 67 CD 61 6C E3 78 69 6E 20 E3 00 63 61 76 65 2E D1 48 65 20 E3 A8 68 65 20 E3 16 E3 AB 74 6F 20 66 69 6E 64 CD E3 00 48 61 63 6B 65 72 60 73 20 68 69 64 65 6F 75 74 2E	00:2 07:1 16:1 8D:1 A8:1 AB:1 CD:3 D1:1 D7:1 E3:11	64	3	1	False	confirmed-record	[TOP][E3].Carl? I [E3][07]know.\n[E3]s[E3]A[E3][8D]working\nal[E3]xin [E3][00]cave.\fHe [E3][A8]he [E3][16][E3][AB]to find\n[E3][00]Hacker`s hideout.		pending			
EN-058FC0	main-dialogue-1	0x058FC0	0x05900D	77	D7 57 65 20 E3 1C 74 68 69 6E 6B 69 6E 67 20 6F 66 CD E3 25 74 6F 20 65 78 70 6C 6F 72 65 20 74 68 65 CD C3 02 48 61 75 6E 74 65 64 20 48 6F 75 73 65 C3 00 20 69 6E 20 E3 00 46 6F 72 65 73 74 CD 6F 66 20 49 6C 6C 75 73 69 6F 6E 2E	00:2 02:1 1C:1 C3:2 CD:3 D7:1 E3:3	64	3	0	True	confirmed-record	[TOP]We [E3][1C]thinking of\n[E3]%to explore the\n[YELLOW]Haunted House[/HIGHLIGHT] in [E3][00]Forest\nof Illusion.		pending			
EN-05900E	main-dialogue-1	0x05900E	0x05905B	77	D7 E3 2E E3 04 E3 87 49 CD 67 6F 74 3F 20 49 20 E3 6F 69 74 20 74 6F 20 61 20 6B 69 64 CD 61 74 20 E3 00 65 6E 74 72 61 6E 63 65 20 74 6F 20 74 68 65 CD 76 69 6C 6C 61 67 65 2E D1 48 65 20 74 6F 6F 6B 20 69 74 20 E3 10 68 69 6D 2E	00:1 04:1 10:1 87:1 CD:3 D1:1 D7:1 E3:6	62	3	1	False	confirmed-record	[TOP][E3].[E3][04][E3][87]I\ngot? I [E3]oit to a kid\nat [E3][00]entrance to the\nvillage.\fHe took it [E3][10]him.		pending			
EN-0591B5	main-dialogue-1	0x0591B5	0x0591EC	55	D7 54 6F 20 77 61 6C 6B 20 66 61 73 74 65 72 2C 20 70 72 65 73 73 CD E3 78 6F 66 20 E3 00 62 75 74 74 6F 6E 73 20 6F 6E CD E3 00 43 6F 6E 74 72 6F 6C 20 50 61 64 2E	00:2 CD:2 D7:1 E3:3	47	2	0	False	confirmed-record	[TOP]To walk faster, press\n[E3]xof [E3][00]buttons on\n[E3][00]Control Pad.		pending			
EN-0591ED	main-dialogue-1	0x0591ED	0x05922A	61	D7 E3 6B E3 01 E3 25 74 6F 20 E3 5E 74 68 65 CD 4D 61 79 6F 72 3F 20 E3 09 E3 8E E3 29 74 6F CD E3 30 61 20 E3 BD E3 10 79 6F 75 2E CD 48 65 20 E3 3F 6C 69 6B 65 73 20 64 6F 67 73 2E	01:1 09:1 10:1 8E:1 BD:1 CD:3 D7:1 E3:11	41	3	0	False	confirmed-record	[TOP][E3]k[E3][01][E3]%to [E3]^the\nMayor? [E3][09][E3][8E][E3])to\n[E3]0a [E3][BD][E3][10]you.\nHe [E3]?likes dogs.		pending			
EN-05922B	main-dialogue-1	0x05922B	0x05926C	65	D7 E3 09 74 6F 6F 6B 20 61 20 E3 BD 77 69 74 68 CD E3 01 74 6F 20 E3 81 E3 00 4D 61 79 6F 72 3F CD E3 0D 73 6F 20 65 61 73 79 20 74 6F CD 66 6F 6F 6C 20 79 6F 75 2E C9 1E 20 48 6D 6D 6D 2E 2E 2E	00:1 01:1 09:1 0D:1 1E:1 81:1 BD:1 C9:1 CD:3 D7:1 E3:6	47	3	0	False	confirmed-record	[TOP][E3][09]took a [E3][BD]with\n[E3][01]to [E3][81][E3][00]Mayor?\n[E3][0D]so easy to\nfool you.[C9][1E] Hmmm...		pending			
EN-05926D	main-dialogue-1	0x05926D	0x0592A1	52	D7 E3 19 64 6F 20 E3 01 77 61 6E 74 3F 20 49 20 68 61 76 65 CD 61 6E 20 E3 FC 6D 65 65 74 69 6E 67 2E CD 54 61 6C 6B 20 74 6F 20 6D 65 20 6C 61 74 65 72 2E	01:1 19:1 CD:2 D7:1 E3:3 FC:1	43	2	0	False	confirmed-record	[TOP][E3][19]do [E3][01]want? I have\nan [E3][FC]meeting.\nTalk to me later.		pending			
